Week;Weekday;Begin date;Begin time;End date;End time;Course;Programme;Group;Room;Reason;Teacher;Comment;Map;Equipment
w7;Friday;2024-02-16;13:15;2024-02-16;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w8;Tuesday;2024-02-20;08:15;2024-02-20;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w8;Tuesday;2024-02-20;10:15;2024-02-20;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w8;Wednesday;2024-02-21;15:15;2024-02-21;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w8;Thursday;2024-02-22;08:15;2024-02-22;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w8;Thursday;2024-02-22;10:15;2024-02-22;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w8;Friday;2024-02-23;10:15;2024-02-23;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;
w8;Friday;2024-02-23;13:15;2024-02-23;15:00;Data Engineering I;IT4, MasBildMask1, MasDataAn1;;101130, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101130;
w9;Monday;2024-02-26;08:15;2024-02-26;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w9;Monday;2024-02-26;10:15;2024-02-26;12:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w9;Monday;2024-02-26;15:15;2024-02-26;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w9;Tuesday;2024-02-27;08:15;2024-02-27;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w9;Tuesday;2024-02-27;10:15;2024-02-27;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Seminar;;;;
w9;Tuesday;2024-02-27;13:15;2024-02-27;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w9;Wednesday;2024-02-28;10:15;2024-02-28;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;2001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-2001;
w9;Wednesday;2024-02-28;13:15;2024-02-28;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w9;Wednesday;2024-02-28;15:15;2024-02-28;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w9;Thursday;2024-02-29;13:15;2024-02-29;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w9;Thursday;2024-02-29;13:15;2024-02-29;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4001;
w9;Thursday;2024-02-29;15:15;2024-02-29;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
