_id,Week,Weekday,Begin_date,Begin_time,End_date,End_time,Course,Programme,Group,Room,Reason,Teacher,Comment,Map,Equipment
669f8582df33e678170a3e4f,w4;Wednesday;2024-01-24;10:15;2024-01-24;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4101, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;,,,,,,,,,
669f8582df33e678170a3e50,w4;Wednesday;2024-01-24;13:15;2024-01-24;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e51,w4;Wednesday;2024-01-24;15:15;2024-01-24;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e52,w4;Thursday;2024-01-25;13:15;2024-01-25;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;101195, Heinz-Otto Kreiss, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101195;,,,,,,,
669f8582df33e678170a3e53,w4;Friday;2024-01-26;13:15;2024-01-26;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;,,,,,,,,
669f8582df33e678170a3e54,w5;Monday;2024-01-29;15:15;2024-01-29;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e55,w5;Wednesday;2024-01-31;08:15;2024-01-31;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e56,w5;Wednesday;2024-01-31;10:15;2024-01-31;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e57,w5;Wednesday;2024-01-31;13:15;2024-01-31;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;2001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-2001;,,,,,,,,,
669f8582df33e678170a3e58,w5;Thursday;2024-02-01;10:15;2024-02-01;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;101142, Ångström, 101146, Ångström, 101162, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101142, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101146, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101162;,,,
669f8582df33e678170a3e59,w5;Thursday;2024-02-01;13:15;2024-02-01;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;101121, Sonja Lyttkens, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101121;,,,,,,,
669f8582df33e678170a3e5a,w5;Friday;2024-02-02;10:15;2024-02-02;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;,,,,,,,,
669f8582df33e678170a3e5b,w6;Monday;2024-02-05;15:15;2024-02-05;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e5c,w6;Tuesday;2024-02-06;08:15;2024-02-06;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e5d,w6;Tuesday;2024-02-06;13:15;2024-02-06;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;100195, Eva von Bahr, Auditorium, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-100195;,,,,,,
669f8582df33e678170a3e5e,w6;Tuesday;2024-02-06;13:15;2024-02-06;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;80127, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-80127;,,,,,,,,,
669f8582df33e678170a3e5f,w6;Wednesday;2024-02-07;08:15;2024-02-07;10:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,
669f8582df33e678170a3e60,w6;Wednesday;2024-02-07;10:15;2024-02-07;12:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e61,w6;Wednesday;2024-02-07;13:15;2024-02-07;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e62,w6;Wednesday;2024-02-07;15:15;2024-02-07;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
